,No,Kabupaten / County,New PPLN / PMI,New PPLN / PMI,new PPDN,total PPDN,new Transmisi Lokal,total Transmisi Lokal,new Lainnya,total Lainnya,new TOTAL,total TOTAL,Date,No,Kabupaten / County,New Masih Perawatan,total Masih Perawatan,New Sembuh Covid,Total Sembuh Covid,New Meninggal,total Meninggal,new Total,total Total,Date
0,1,JEMBRANA,0,26,0,11,1,626,0,0,1,663, 05 Dec 2020,1,JEMBRANA,-7,70,7,579,1,14,1,663, 05 Dec 2020
1,2,TABANAN,0,21,2,10,23,1466,0,0,25,1497, 05 Dec 2020,2,TABANAN,-10,434,35,1016,0,47,25,1497, 05 Dec 2020
2,3,BADUNG,0,27,0,4,18,2478,0,0,18,2509, 05 Dec 2020,3,BADUNG,-9,159,27,2299,0,51,18,2509, 05 Dec 2020
3,4,DENPASAR,0,48,-1,22,28,3891,0,0,27,3961, 05 Dec 2020,4,DENPASAR,1,166,26,3705,0,90,27,3961, 05 Dec 2020
4,5,GIANYAR,0,29,-1,10,16,1951,0,0,15,1990, 05 Dec 2020,5,GIANYAR,-16,234,31,1681,0,75,15,1990, 05 Dec 2020
5,6,BANGLI,0,58,0,3,0,824,0,0,0,885, 05 Dec 2020,6,BANGLI,-1,8,1,842,0,35,0,885, 05 Dec 2020
6,7,KLUNGKUNG,0,19,0,0,0,928,0,0,0,947, 05 Dec 2020,7,KLUNGKUNG,0,9,0,918,0,20,0,947, 05 Dec 2020
7,8,KARANGASEM,0,23,0,0,0,1006,0,0,0,1029, 05 Dec 2020,8,KARANGASEM,-3,14,3,964,0,51,0,1029, 05 Dec 2020
8,9,BULELENG,0,41,0,6,5,1172,0,0,5,1219, 05 Dec 2020,9,BULELENG,1,59,4,1101,0,59,5,1219, 05 Dec 2020
9,10,KABUPATEN LAINNYA,0,5,0,31,0,13,0,0,0,49, 05 Dec 2020,10,KABUPATEN LAINNYA,-1,4,1,44,0,1,0,49, 05 Dec 2020
10,11,WARGA NEGARA ASING,0,8,0,2,0,22,0,0,0,32, 05 Dec 2020,11,WARGA NEGARA ASING,0,1,0,28,0,3,0,32, 05 Dec 2020
