X,Y,FID,Kode_Provi,Provinsi,Kasus_Posi,Kasus_Semb,Kasus_Meni
96.9095227480001,4.22508189200005,1,11,Aceh,8199,6550,311
99.0578878490001,2.18477921500005,2,12,Sumatera Utara,13277,10846,542
100.46680503,-0.85191434799998,3,13,Sumatera Barat,14940,10764,270
101.812891954,0.510525849000032,4,14,Riau,14841,11490,340
103.59932,-1.61775,5,15,Jambi,1735,1256,36
104.170419445,-3.21334682199995,6,16,Sumatera Selatan,7921,6394,428
102.26312,-3.79116,7,17,Bengkulu,1635,1264,72
105.986948082,-2.25295641099996,8,19,Bangka Belitung,927,782,12
105.018313051,-4.91807308699993,9,18,Lampung,3238,1741,130
108.202228889,3.91594724100003,10,21,Kepulauan Riau,5286,3952,133
106.82649,-6.17148,11,31,DKI Jakarta,130461,119069,2578
107.602807898,-6.91998021599994,12,32,Jawa Barat,49706,41220,878
110.201112529,-7.25897038299996,13,33,Jawa Tengah,50321,36413,2162
110.445366971,-7.89501381499997,14,34,Daerah Istimewa Yogyakarta,5453,4141,136
112.733678801,-7.72011301899994,15,35,Jawa Timur,59800,52827,4249
106.109197069,-6.45618159899993,16,36,Banten,12078,8322,316
115.131650995,-8.36974326099994,17,51,Bali,13389,12217,414
117.506862452,-8.60665208399996,18,52,Nusa Tenggara Barat,4560,3665,237
121.14182917,-8.60484333199997,19,53,Nusa Tenggara Timur,1002,661,17
111.120762401,-0.085901233999948,20,61,Kalimantan Barat,2312,1787,22
113.181047852,-1.63434004499993,21,62,Kalimantan Tengah,5554,4477,183
115.311307834,-2.44977913699995,22,63,Kalimantan Selatan,12998,11815,520
116.470858393,0.461046227000054,23,64,Kalimantan Timur,18694,16137,569
116.216718309,2.88882096100002,24,65,Kalimantan Utara,1283,912,16
124.53537885,1.28609768700005,25,71,Sulawesi Utara,5452,4585,205
120.4495925,-1.45921495399995,26,72,Sulawesi Tengah,878,672,36
120.161157704,-3.74711571199992,27,73,Sulawesi Selatan,18372,16617,468
122.078678056,-4.13280397099993,28,74,Sulawesi Tenggara,5073,4034,83
123.06184,0.53707,29,75,Gorontalo,3065,2956,89
119.343471383,-2.46190201499996,30,76,Sulawesi Barat,1036,841,14
129.360425,-3.12611934299997,31,81,Maluku,4324,3746,60
128.015929442,0.869337001000019,32,82,Maluku Utara,2355,1971,81
140.0,-5.0,33,94,Papua,9898,5007,137
132.968341712,-2.04172328199996,34,91,Papua Barat,4189,3655,66
113.915865,-0.989818181999965,35,0,Indonesia,0,0,0
