,Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,cases_per_100k,id
0,3/1/2020,ID-JK,Dki Jakarta,2,0,0,2,489,20,73,396,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,45.09,0.0,1.84,4.09%,14.93%,,,0.4509,6
1,3/2/2020,ID-JK,Dki Jakarta,2,0,0,2,491,20,73,398,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,45.27,0.0,1.84,4.07%,14.87%,1.0,1.0,0.45270000000000005,6
2,3/2/2020,IDN,Indonesia,2,0,0,2,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.01,0.0,0.0,0.00%,0.00%,,,0.0001,0
3,3/2/2020,ID-JB,Jawa Barat,3,0,0,3,12,5,14,-7,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.07,0.27,0.0,0.11,41.67%,116.67%,,,0.0027,9
4,3/2/2020,ID-RI,Riau,1,0,0,1,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.16,0.33,0.0,0.16,50.00%,100.00%,,,0.0033,26
5,3/3/2020,ID-JK,Dki Jakarta,2,0,0,2,493,20,73,400,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,45.45,0.0,1.84,4.06%,14.81%,1.0,1.0,0.4545,6
6,3/3/2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.0,0.01,0.0,0.0,0.00%,0.00%,0.0,1.0,0.0001,0
7,3/3/2020,ID-JB,Jawa Barat,1,1,0,0,13,6,14,-7,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.29,0.02,0.13,46.15%,107.69%,0.33,,0.0029,9
8,3/3/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,0.0,1.0,0.0033,26
9,3/4/2020,ID-JK,Dki Jakarta,2,0,0,2,495,20,73,402,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,45.64,0.0,1.84,4.04%,14.75%,1.0,1.0,0.45640000000000003,6
10,3/4/2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.0,0.01,0.0,0.0,0.00%,0.00%,1.0,1.0,0.0001,0
11,3/4/2020,ID-JB,Jawa Barat,1,0,0,1,14,6,14,-6,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.31,0.0,0.13,42.86%,100.00%,1.0,0.0,0.0031,9
12,3/4/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
13,3/5/2020,ID-JK,Dki Jakarta,0,1,0,-1,495,21,73,401,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.0,45.64,0.09,1.94,4.24%,14.75%,0.0,,0.45640000000000003,6
14,3/5/2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.0,0.01,0.0,0.0,0.00%,0.00%,1.0,1.0,0.0001,0
15,3/5/2020,ID-JB,Jawa Barat,1,0,0,1,15,6,14,-5,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.33,0.0,0.13,40.00%,93.33%,1.0,1.0,0.0033,9
16,3/5/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
17,3/6/2020,ID-BT,Banten,1,0,0,1,59,1,0,58,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,0.09,5.5,0.0,0.09,1.69%,0.00%,,,0.055,3
